Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
600051,宁波联合,2026-08-14,6.18,0.16%,趋势: 高于MA20,5.92,6.12,0.91X
603995,甬金股份,2026-08-06,22.84,1.65%,量能: 放量 (1.54X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),20.60,20.84,1.54X
002867,周大生,2026-08-06,12.76,-0.08%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,12.43,12.22,0.81X
601077,渝农商行,2026-08-06,6.48,0.31%,"形态: 两连阴 (-3.57%, -0.46%)",6.62,6.62,0.76X
600073,光明肉业,2026-08-06,5.13,-0.39%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.89%, -0.58%)",5.14,5.11,1.00X
600989,宝丰能源,2026-08-06,23.47,1.43%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),22.70,23.16,1.09X
600775,南京熊猫,2026-08-06,9.96,-1.09%,形态: 10日内有涨停 | 趋势: 高于MA20,9.21,10.21,0.70X
601233,桐昆股份,2026-08-14,22.84,0.75%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.34%, -2.83%) | 趋势: 高于MA20",22.47,21.78,0.63X
603968,醋化股份,2026-08-06,10.05,1.41%,"形态: 两连阴 (-0.70%, -0.80%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",9.41,10.27,0.62X
603085,天成自控,2026-08-14,10.07,0.90%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),9.54,11.07,0.69X
603065,宿迁联盛,2026-08-06,15.77,1.68%,动量: 突破转强 (阳线上穿5/10),16.24,14.20,0.95X
600795,国电电力,2026-08-06,5.02,0.40%,"形态: 两连阴 (-1.17%, -0.99%) | 趋势: 高于MA20",4.90,4.90,0.83X
002246,北化股份,2026-08-14,21.07,-1.95%,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-1.82%, -2.58%) | 趋势: 高于MA20",19.97,19.37,0.58X
603637,镇海股份,2026-08-14,13.51,-1.46%,趋势: 高于MA20,12.10,15.30,0.86X
