触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
"形态: 两连阴 (-1.27%, -2.94%)",1,-3.17,0.63,0.0%
趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,4,-3.3674999999999997,5.715,50.0%
量能: 放量 (1.93X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,-3.69,4.85,0.0%
"形态: 两连阴 (-7.14%, -4.83%)",1,-3.79,-3.79,0.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.16%, -2.81%) | 趋势: 高于MA20",1,-4.98,13.03,0.0%
趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,-5.0200000000000005,6.845,50.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.97%, -0.17%)",1,-5.45,-1.98,0.0%
"形态: 两连阴 (-7.18%, -2.39%)",1,-5.57,-3.66,0.0%
趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停,3,-6.260000000000001,3.316666666666667,33.33%
"形态: 两连阴 (-3.44%, -10.05%)",1,-6.5,-5.65,0.0%
"形态: 两连阴 (-5.66%, -0.67%)",1,-6.57,-0.82,0.0%
"形态: 两连阴 (-8.16%, -2.25%)",1,-6.74,-6.62,0.0%
"形态: 两连阴 (-3.85%, -3.92%)",1,-6.93,-1.33,0.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.37%, -0.30%) | 趋势: 高于MA20",1,-7.41,-2.84,0.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-8.29%, -9.60%)",1,-7.65,-2.24,0.0%
"形态: 两连阴 (-10.00%, -6.26%)",1,-9.65,-4.61,0.0%
"形态: 两连阴 (-9.97%, -7.62%)",1,-9.82,-5.41,0.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.98%, -9.98%)",1,-10.15,-7.07,0.0%
趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,5,-10.218,-1.2579999999999996,40.0%
"形态: 两连阴 (-0.55%, -1.80%)",1,-10.53,3.12,0.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.75%, -1.42%)",1,-11.6,1.95,0.0%
"形态: 两连阴 (-9.99%, -1.48%)",1,-12.65,-6.49,0.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.75%, -6.01%)",1,-13.1,-0.89,0.0%
"形态: 两连阴 (-3.34%, -2.53%)",1,-13.41,-4.07,0.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.99%, -0.07%)",1,-17.55,-5.66,0.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.77X),1,-17.78,-10.01,0.0%
"形态: 两连阴 (-0.04%, -3.07%)",1,-23.64,4.99,0.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-1.93%, -1.43%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,-33.47,3.25,0.0%
